;Site;Auteur;dateComm;dateSejour;Localisation;Note;Titre;Avis
52;Disney Hotel New York - The Art of Marvel;Hugo;juin 2022;septembre 2016;Nantes France;5;The place to be;Clairement si vous êtes fan de Marvel et que vous avez les moyens, il faut y aller ! La piscine et la salle de sport sont parfaites. Les décorations sont juste incroyables. Que ce sois dans les chambres ou dans l’hôtel. Les services sont très bien et le personnel est irréprochable. Au niveau de la chambre tout est bien. Le petit déjeuner est juste parfait. L’hôtel est a 2 minutes de disney village. Au niveau du parking il y a largement de quoi faire.
53;Disney Hotel New York - The Art of Marvel;Flo64;juin 2022;septembre 2016;Paris France;4;Parfait à quelques détails près;L hôtel est superbe , l esthétique est hyper soignée et le thème décliné avec une grande élégance .  Le petit déjeuner est de grande qualité dans un superbe restaurant.  On a apprécié l espace Photo Booth et la rencontre avec spider man !! La piscine est sublime, bien chauffée et les horaires très larges ( le matin j étais seule dedans ! Le luxe !) Je ne mets pas 5 * car j ai regretté la literie en 2 lits double : faire dormir des enfants dans le même lit à été une épreuve , on a fini par les séparer et dormir avec eux donc on a mal dormi .. et quand on va a Disney on a besoin de sommeil .. On a eu des problèmes de carte démagnétisée et on a du faire plusieurs fois des aller retour avec la réception ( a minuit on s en serait passe) Et c est dommage d avoir mis des Wc dans la…
54;Disney Hotel New York - The Art of Marvel;baudchri;juin 2022;septembre 2016;Habay-la-Neuve Belgique;5;Très chouette !!!!;Séjour à l'hôtel NY -The art of Marvel durant le we de Pentecôte.  L'hôtel a été très bien rénové.  Service de qualité, très jolies chambres.  Un accueil enthousiaste et bienveillant.    Un séjour magique !!!
55;Disney Hotel New York - The Art of Marvel;Nicolas I;mai 2022;septembre 2016;Boucau France;5;Très bel hôtel;Hôtel rethématisé MARVEL, tout simplement magnifique, très belle réception, très belle chambre, des fresques magnifiques à chaque étage. Chambre décorée avec gout. Literie impeccable. Salle de bains rien à dire, gel douche shampoing et après shampoing disponible. Machine à café, bouteille d'eau dans la chambre. Très bon séjour.
56;Disney Hotel New York - The Art of Marvel;Alain S;mai 2022;septembre 2016;;5;Marvel...lous;Un voyage dans le monde de Disney et Marvel, pour le plus grand plaisir des petits et... des grands ! Un service pour les Suites de qualité et un personnel toujours agréable et souriant ... Seul bémol, une seule bouteille d'eau par personne pour 3 nuits.... un peu léger, mais grâce à la gentillesse de l'intendante nous avons obtenu des bouteilles supplémentaires 
57;Disney Hotel New York - The Art of Marvel;Olivia M;mai 2022;septembre 2016;;4;La magie de Disney;Très bel hôtel qui nous met rapidement dans l'ambiance de Disney et du monde Marvel. De la réception à la chambre, c'est un enchantement. La proximité du parc est agréable. Le personnel de la réception ainsi que des restaurants et de la boutique sont exceptionnels! Merci au personnel de la super héros station d'avoir partagé le secret de Docteur Strange !  Quelques bémols  que l'on ne devrait cependant pas retrouver dans un établissement 4 étoiles: -la propreté de la piscine ( serviettes au sol non ramassées par les casts, traces suspectes sur les portes des vestiaires...) et l'accueil un peu froid  -la propreté des chambres : beaucoup de poussières sous le lit et dans l'armoire, effets personnels des anciens occupants retrouvés.  - très mauvaise expérience à la conciergerie :…
58;Disney Hotel New York - The Art of Marvel;Lucyie T;avril 2022;septembre 2016;La Baume-de-Transit France;5;Un séjour magique ;Nous avons séjourner 2 nuits dans l'hôtel est vraiement paq déçu   Accueil très très sympa ! Le personnels est vraiment aux petits soins.  Les valises nous ont était déposer en chambre directement. ( Chambre Standard ) et sans supplément   Nous avons passer 2 excellentes nuits ( literie au top du top ) les petites attention comme dans la plupart des hôtels disney fait toujours plaisirs ( eau , café, thé)  Un frigo est présent dans la chambre   Nous avons également tester le restaurant buffet à volonté et vraiment pour tout les goûts  3 buffets différents ( americain, italien et chinois)   Petit déjeuner le matin également avec beaucoup de choix   Je garde un très bon souvenir de ce séjour et nous reviendrons tres certainement 
59;Disney Hotel New York - The Art of Marvel;Fabien R;mai 2022;septembre 2016;Arras France;4;Hôtel récement rénové;"Ancien hôtel New York, récemment rénové sur le thème Marvel, en plein coeur de Disneyland.  Chambres d'excellente qualité, spacieuses, très bien équipées. La vue sur le lac est magnifique au réveil! Plusieurs restaurants / bars disponibles sur place. Service efficace même si un peu ""sur-fait"".  Seul point négatif : l'espace petit-déjeuner : une ruche, bondée de monde, trop bruyante. L'aspect cantine abîme le reste de l'expérience."
60;Disney Hotel New York - The Art of Marvel;Elodie M;mai 2022;septembre 2016;;4;Séjour 1 nuit;Très bel hôtel. Le personnel est agréable et a l’écoute. Vraiment pas loin du parc à pied. C’était un premier séjour Disney et honnêtement aucun regret. Le petit déjeuner est à volonté et très varié, il y en a pour tout les goûts. Possibilité de déposer vos bagages avant même d’aller au parc et que la chambre soit disponible. Dès que ce sera le cas ils les mettront directement dans la chambre. Je recommande cet hôtel
61;Disney Hotel New York - The Art of Marvel;Sabi197010;mai 2022;septembre 2016;Asnieres-sur-Seine France;5;Merci à tous, nous reviendrons.;Nous avons réservé une chambre à la dernière minute, et nous n'avons pas été déçus ! De la chambre au restaurant, ainsi que le petit-déjeuner en buffet, les décors et couloirs remplis de dessins ou planches de BD et d'explications, le personnel aimable et compétent, l'espace extérieur devant l'hôtel, la proximité du parc, tout était parfait. À refaire !
62;Disney Hotel New York - The Art of Marvel;Luna01;avril 2022;septembre 2016;France;5;Marvel ;Super hôtel magnifique l univers marvel Super grandes chambres j'adore et super avec une grande tv et de beau restaurants original et belle boutique l univers marvel c est superbe grand halles gigantesque d'hôtels magnifique j'adore il y a de tout 
63;Disney Hotel New York - The Art of Marvel;Tacha H;avril 2022;septembre 2016;Bordeaux France;3;Un très bel hôtel cependant prétentieux au regard des prestations réelles ;Lorsqu'on arrive l'hôtel impressionne par la déco et la mise en scène. Cependant au regard des prix pratiqués il y a trop de choses qui ne vont pas. Dans les chambres, les dysfonctionnements sont nombreux avec sur 2 deux chambres un WC qui fuit sans arrêt, un pommeau de douche qui tourne sur lui même lorsqu'on allume l'eau (!), un robinet de lavabo qui délivre un filet d'eau... Et que dire de la bouteille d'eau fournie une seule fois pour 5 jours ! Disney chez Accor ils la remplacent tous les jours au novotel... Au niveau des repas c'est la catastrophe : 135€ de petit déjeuner à 5 chaque jour pour le niveau d'un Ibis Style.  Dîner buffet à l'hôtel pour 230€ à 5 pour une nourriture équivalente à un flunch à peine amélioré. Aux 2 bars ce n'est pas beaucoup mieux. Le premier…
64;Disney Hotel New York - The Art of Marvel;Renaud B;avril 2022;septembre 2016;;5;Excellent séjour dans ce magnifique hôtel;De retour sur le parc Disney après la période COVID. Habitués des suites Kompass de l’hôtel Newport, nous avons inauguré l’hôtel MARVEL. Un immense établissement extrêmement bien tenu. L’esthétique de l’hôtel est superbe, contemporaine et élégante. Le restaurant Manhattan est hyper chic et la cuisine italienne qui y est servie est réussie pour un établissement de cette taille. Le Bar skyline est extrêmement agréable et ludique. Les petits-déjeuners sont variés. Les activités sont nombreuses. Notre chambre était confortable et accueillante. Merci encore à Karima pour ses multiples attentions, notamment à l’occasion de l’anniversaire de notre fils, et à l’équipe du Manhattan animée par Nicola pour ce mémorable dîner.
65;Disney Hotel New York - The Art of Marvel;estellerogg;novembre 2021;septembre 2016;Toulouse France;4;Superbe;Habitué du Disneyland hôtel nous nous sommes « rabattus »  sur celui-ci car dans le disney village et parc accessible à pied. A votre arrivée le hall est majestueux, de sublimes dessins et hauteur sous plafond impressionnante. Le Check in un peu long a mon long mais a l’heure du Covid …. Bref nous récupérons nos pass et direction le parc. Le plus : vous recevez un sms quand votre chambre est prête et un code d’accès pour ouvrir votre porte. Le soir à arrivée nous découvrons une sublime chambre avec beaucoup de petites attention : chocolats, macarons, bonbons et cadeaux à l’effigie de l’hôte pour les enfants ( sacs et gourdes ). Bref n’hésitez plus réserver sans hésiter surtout si vos enfants sont fans des héros Marvel. Chez nous ma fille est plutôt princesse et mon fils grandit…
66;Disney Hotel New York - The Art of Marvel;ChristophePretre;avril 2022;septembre 2016;Lille France;5;PERFECTION À TOUS NIVEAUX;Excellente expérience… À l’arrivée à l’hôtel à 9 heures, la chambre était déjà disponible ! Et les bagages livrés en moins de temps qu’il faut pour le dire !  Une superbe chambre au 6e étage, à l’Empire State Club .. Une chambre spacieuse et hyper lumineuse grâce à sa baie vitrée immense, TV miroir design, machine expresso .. Literie de qualité, fauteuils et canapé confortables …  Salle de bains très propre, bien organisée  ..  Un room service rapide, impeccable, professionnel.. grande gentillesse du serveur (Sébastien) … service parfait, assiettes de charcuteries et fromages italiens excellentes ! Belle vaisselle et verrerie..  Vraiment une merveilleuse expérience.. la rénovation de l’hôtel est Mega réussie et on n’a qu’un seul regret : que le séjour se termine ! Vivement le…
67;Disney Hotel New York - The Art of Marvel;Alexandre M;avril 2022;septembre 2016;Reims France;5;Hôtel magique et personnel par;Nous venons de réaliser un séjour de 3 nuits / 4 jours au sein de l'Hotel Disney's New York The Art Of Marvel en chambre Empire State Club vue lac Accueil à l'Empire State Club excellent, pro et chaleureux. Chambre avec vue lac magnifique et parfaitement équipée. Suite à un petit soucis en milieu de séjour avec la chambre. Les Casts Members de l'Empire State Club nous ont basculé dans une suite Super Héro encore plus magique. Merci pour leur réactivité et leur gentillesse. De même pour toutes les équipes du lounge privatif pour le petit déjeuner et goûter. Personnel absolument parfait et dévoué de gentillesse. Merci également pour la visite de l'hôtel d'1 heure très intéressante.  Concernant les parcs, rien à redire. Le spectacle de drones est incroyable. Le nouveau show sur…
68;Disney Hotel New York - The Art of Marvel;Stecy R;mars 2022;septembre 2016;Amneville France;5;Hôtel très sympa;Alors nous avons séjourné pour une nuit à l’hôtel New York The art of Marvel .. nous avons opté pour une chambre supérieure la chambre très spacieuses avec une vue sur jardin .. la chambre très grande avec deux grands lits une salle de bain douche italienne vous retrouverez dans la chambre une machine espresso À capsule ainsi qu’une bouilloire et du thé disponible vous avez également un coffre fort à frigo et deux bouteilles de Vittel à l’intérieur l’hôtel est superbe .. petit hic sur trois ascenseurs que deux fonctionner c’est dommage quand tout le monde rentre à la même heure il faut un peu faire la queue pour rejoindre sa chambre l’hôtel se trouve à huit minutes à pied de Disney et du Walt Disney studio ..
