pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Challes-les-Eaux France,Bien mais trop cher pour ce que c’est !,3,Après avoir passé 3 nuits c’est une semi déception.  L’hôtel en lui même est super bien refait les Chambres sont belles le mobilier est top rien à redire.   Le problème c’est le standing affiché et les prix pratiqués avec un personnel pas au niveau.  Attendre 30 min pour aller au bar et voir 11 staff galèrés pour 60 personne incroyable. Au final 30 min a faire la queue car Disney a eu l’intelligence de faire 2 bars dont un qui ferme à 18h quand les gens ont envie de profiter de la terrasse une aberration ! Et donc ensuite 30 min dans le bar sans venir nous prendre la commande. Cela est arrivé 2 fois aucune excuse de nous voir partir…  Le restaurant c’est trop cher pour ce que c’est et encore une fois près de 20 serveurs dans un resto semi vide pas fichu de suivre une…,juin 2021,,Strange73 a écrit un avis (juil. 2021),False
Fontaines-sur-Saône France,un hôtel-musée incontournable pour les fans de l'univers Marvel,5,Nous avons séjournés 2 nuits dans l'hôtel New York - The Art of Marvel en chambre Empire Club State avec vue sur le Lac. Cet hôtel-musée est un incontournable pour tous les fans de l'univers Marvel qu'ils soient grands ou petits. On peut y admirer de nombreuses oeuvres ainsi qu'une armure unique d'Iron Man. Les chambres sont grandes et la décoration raffinée. Je vous conseille vraiment de profiter à fond de cet hôtel et de vous rendre à la piscine (inspirée du métro new-yorkais) au restaurant Manhattan (avec son lustre inspiré d'Asgard) au Skyline bar et au super héro station pour y rencontrer notamment Spiderman.,juin 2021,,Stéphan J a écrit un avis (juil. 2021),True
Carhaix-Plouguer France,Extra!!!!,5,Un séjour super!!! A peine partis nous avons prévu de revenir!!!  Arrivée très tôt (07h30)le premier jour nous sommes accueillis par un cast member adorable Mario José qui s’est arrangé pour nous offrir un café alors que tout était encore fermé et nous a obtenu les cartes de la chambres plus tôt vu qu’elle était prête.  Le personnel est au petit soin agréable sourient. La chambre est superbe avec une vue extraordinaire !! Hyper propre!! Pas de ménage pendant le séjour pour éviter les aller retour et risque de contamination mais tout est expliquer par avance.  Le bar de l’hôtel est vraiment top avec quelques surprises en étant bien attentif !!! Décor génial comme tout le reste de l’hôtel!! Personnel efficace et très agréable.  De même pour le restaurant service à table…,juin 2021,,Sand R a écrit un avis (juil. 2021),False
Île-de-France France,Plus qu'un hôtel une véritable galerie d'art,5,Nous avions jusqu'à présent toujours séjourné dans d'autres hôtels du resort comme le Disneyland Hotel et le Newport Bay Club. La rethématisation de l'hôtel New York sur l'univers des super-héros et le concept de galerie d'art nous ont donné l'envie de le découvrir et nous avons été conquis !   Plus qu'une rénovation c'est une véritable transformation qu'a subi l'hôtel et c'est vraiment réussi. L'immersion commence dès le hall d'entrée avec des représentations de super-héros sous différentes formes avec des gravures monumentales des tableaux des armures d'Iron Man grandeur nature... Le tout mis en valeur dans un écrin de lumières aux lignes parfaitement dessinées.   A notre arrivée nous avons été extrêmement bien accueillis à la réception de l'Empire State Club car tout a…,juillet 2021,,Horus-le-bon a écrit un avis (juil. 2021),False
Marigny-le-Châtel France,Superbe hôtel,5,Superbe hôtel sur le thème marvel. L hôtel est très bien décorer avec les différents personnages . Des qu on franchi le hall d entrée on en prend plein les yeux avec les figurines d iron man . Les chambres sont spacieuse  le mobilier est moderne . Chaque couloir est sur le thème d un personnage . Il y a la possibilité de rencontrer Spiderman un gros plus pour les enfants et les grands. Il y a une grande piscine mais assez profonde . Ce n’est pas l idéal avec des enfants,juin 2021,,mauclere r a écrit un avis (juil. 2021),True
,Super séjour ,5,Séjour d’une nuit avec mon mari et notre fils de 25 ans.  Le séjour a été exceptionnel à tous les niveaux : personnel adorable chambre hyper moderne et très confortable (notamment la literie) piscine très agréable et petit déjeuner parfait (notamment le jus d’orange frais chose rare en hôtel) L’accueil a été super on a pu accéder à la chambre dès 10h le matin de notre arrivée nous avons beaucoup apprécié.  Merci encore.,juillet 2021,,Pamelab a écrit un avis (juil. 2021),False
Montévrain France,Dîner au Manhattan le 24.06.21,5,Je tiens à remercier vivement le cast member Oussama pour son accueil et service chaleureux bienveillants et professionnels lors de notre passage au restaurant Manhattan le 24.06.21 soir. Nous avons passé une merveilleuse soirée en sa compagnie et dans ce cadre élégant plus qu'agréable.,juin 2021,,Jil77144 a écrit un avis (juin 2021),True
,Accueil froid,1,"J'ai pris un refus à l'entrée par le monsieur de la sécurité car je suis arrivée en trotinette électrique et je cite ""la trotinette c'est pas possible et les clients sont sélectionner par certains critères"". J'étais en chaussure de ville et chemise noir je sortait du travail. Je ne savais pas que c'etais interdit de venir en vélo ou trotinette électrique ? Donc cliente extérieur qui souhaite découvrir le bar ou le restaurant c'est interdit ? Il m'as demandé si j'avais une ID Disney chose que je n'ai pas car je ne travail plus a Disney. Donc il y as seulement les employés de Disney qui sont les bienvenus et des clients qui ont réservés une chambre ?   Sur le site internet il n'y as marqué nul pars ""leurs critères"".  Travaillant en hôtellerie je suis plus que déçu.. Habitante…",juin 2021,,Girlpower a écrit un avis (juin 2021),False
Thaon-les-Vosges France,Week-end en famille,3,Trop cher pour ce que c est! Prix élevé ! Je m attendais à mieux pour une nuit à 900 balles ( parc compris) c est sur bien décoré avec les personnages Marvel ! Piscine bof ! Chambre agréable mais pas pas très propre ! Poussière et aspirateur mal passé ! Restaurant trop cher ! Le seul point positif c est la gentillesse du personnel bravo!,mai 2021,,korok88 a écrit un avis (juin 2021),False
Dannemarie France,Magnifique hôtel !,5,L'hôtel est fraichement terminé ça valait le coup d'attendre pour y séjourner. On reste dans l'esprit New-York avec tout l'univers Marvel dès l'entrée dans le grand hall.  Les tableaux sont tous plus beaux les uns que les autres. La chambre : l'agencement est super c'est ultra-moderne et très confortable. La literie est top ! On peut se faire un café et correctement mettre en charge nos appareils.  Il n'y a pas de nuisances sonores dans les chambres.   Les services sont au top et les équipes sont toujours d'une extrême gentillesse.  Je reviendrai !,juin 2021,,Alexandre N a écrit un avis (juin 2021),False
